,Unnamed: 0,sentence,text_no_eraab,pinglish_from_errab,pinglish_from_no_errab
162002,162002,گردشگران از اَرگ تاریخی بازدید کردند.,گردشگران از ارگ تاریخی بازدید کردند.,gardeSgaran ?az ?arge tArixi bAzdid kardand,gardeSgaran ?az ?arge tArixi bAzdid kardand
172723,172723,هیچ‌کس مثل سَر نمی‌تواند خانواده را هدایت کند.,هیچ‌کس مثل سر نمی‌تواند خانواده را هدایت کند.,hiC kas mesleye sar nemitavAnad xAnevAde rA hedAyat konad,hiC kas mesleye sar nemitavAnad xAnevAde rA hedAyat konad
164582,164582,اَشکال موجود باید برطرف شود.,اشکال موجود باید برطرف شود.,?eSkAle mojud bAyad bartaraf Savad,?eSkAle mojud bAyad bartaraf Savad
116627,116627,خیابان پَهْن بود.,خیابان پهن بود.,xiyAbAn pahn bud,xiyAbAn pahn bud
125271,125271,کِرَک‌های قدیمی را ترمیم کردند.,کرک‌های قدیمی را ترمیم کردند.,korkhAye qadimi rA tarmim kardand,korkhAye qadimi rA tarmim kardand
145353,145353,این طلا ۲۰ گِرَم وزن دارد.,این طلا ۲۰ گرم وزن دارد.,?in talA bist geram vazn dArad,?in talA bist geram vazn dArad
177157,177157,قِسْم همیشه در داستان‌های قدیمی ذکر شده‌است.,قسم همیشه در داستان‌های قدیمی ذکر شده‌است.,qesm hamiSe dar dAstAnhAye qadimi zekr Sodeast,qasam hamiSe dar dAstAnhAye qadimi zekr Sodeast
106132,106132,پَر طاووس زیباست.,پر طاووس زیباست.,pare tAvus zibAst,pare tAvus zibAst
39294,39294,او در دوران نوجوانی ورزشکار بود.,او در دوران نوجوانی ورزشکار بود.,?u dar dorAne nojavAni varzeSkAr bud,?u dar dorAne nojavAni varzeSkAr bud
54764,54764,هتل برای زُوّار آماده شده بود.,هتل برای زوار آماده شده بود.,hotel barAye zubAr ?AmAde Sode bud,hotel barAye zavAr ?AmAde Sode bud
55592,55592,صندلی زَوار در رفته است.,صندلی زوار در رفته است.,sandali zavAr dar rafte ?ast,sandali zavAr dar rafte ?ast
135783,135783,لباس کُلُفت برای زمستان است.,لباس کلفت برای زمستان است.,lebAse koloft barAye zemestAn ?ast,lebAse koloft barAye zemestAn ?ast
84954,84954,لَنگ و ناتوان از پله‌ها بالا رفت.,لنگ و ناتوان از پله‌ها بالا رفت.,lang va nAtavAn ?az pellehA bAlA raft,lang va nAtavAn ?az pellehA bAlA raft
151702,151702,گِله‌ات را قبول دارم.,گله‌ات را قبول دارم.,galleat rA qabul dAram,galleat rA qabul dAram
176040,176040,همه از فَر احترام می‌گذارند.,همه از فر احترام می‌گذارند.,hame ?az far ?ehterAm migozArand,hame ?az far ?ehterAm migozArand
12479,12479,در لحظه‌ای از بُهْت خشک شد.,در لحظه‌ای از بهت خشک شد.,dar lahzei ?az boht xoSk Sod,dar lahzei ?az boht xoSk Sod
30805,30805,قدرت خَلْق در ذهن انسان شگفت‌انگیز است.,قدرت خلق در ذهن انسان شگفت‌انگیز است.,qodrate xallaq dar zehne ?ensAn Segeftangiz ?ast,qodrate xalq dar zehne ?ensAn Segeftangiz ?ast
28317,28317,او با خَر بار را جابه‌جا کرد.,او با خر بار را جابه‌جا کرد.,?u bA xare bAr rA jAbejA kard,?u bA xare bAr rA jAbejA kard
145444,145444,بسته صد گِرَم وزن داشت.,بسته صد گرم وزن داشت.,baste sad geram vazn dASt,baste sad geram vazn dASt
68862,68862,صِیْد غیرمجاز ممنوع است.,صید غیرمجاز ممنوع است.,siyad qeyremojAz mamnu? ?ast,seyde qeyremojAz mamnu? ?ast
163866,163866,تمرین اُرگ هر روز ادامه دارد.,تمرین ارگ هر روز ادامه دارد.,tamrin ?orge har ruz ?edAme dArad,tamrin ?orge har ruz ?edAme dArad
185436,185436,وقتی اسم کُنده را می‌شنوم یاد کودکی‌ام می‌افتم.,وقتی اسم کنده را می‌شنوم یاد کودکی‌ام می‌افتم.,vaqti ?esme konde rA miSenavam yAd kudakiam mioftam,vaqti ?esme konde rA miSenavam yAd kudakiam mioftam
177012,177012,وقتی اسم قِسْم را می‌شنوم یاد کودکی‌ام می‌افتم.,وقتی اسم قسم را می‌شنوم یاد کودکی‌ام می‌افتم.,vaqti ?esme qasam rA miSenavam yAd kudakiam mioftam,vaqti ?esme qasam rA miSenavam yAd kudakiam mioftam
127164,127164,زمین را برای کِشت آماده کرد.,زمین را برای کشت آماده کرد.,zamin rA barAye keSt ?AmAde kard,zamin rA barAye keSt ?AmAde kard
23528,23528,باید جِرم جسم را اندازه گرفت.,باید جرم جسم را اندازه گرفت.,bAyad jerme jesm rA ?andAze gereft,bAyad jerme jesm rA ?andAze gereft
21474,21474,کتاب را در کیف تو گذاشتم.,کتاب را در کیف تو گذاشتم.,ketAb rA dar kife to gozAStam,ketAb rA dar kife to gozAStam
100141,100141,نَقل بارها به ماشین انجام شد.,نقل بارها به ماشین انجام شد.,noqle bArhA be mASin ?anjAm Sod,noqle bArhA be mASin ?anjAm Sod
154514,154514,گوشت را خوب پخت.,گوشت را خوب پخت.,guSt rA xub poxt,guSt rA xub poxt
113708,113708,از طریق پُست نامه آمد.,از طریق پست نامه آمد.,?az tariqe post nAme ?Amad,?az tariqe post nAme ?Amad
62625,62625,صدای غرش شیر ترسناک بود.,صدای غرش شیر ترسناک بود.,sedAye qorre Sir tarsnAk bud,sedAye qorre Sir tarsnAk bud
7058,7058,بُعد فیزیکی موضوع را بررسی کرد.,بعد فیزیکی موضوع را بررسی کرد.,ba?d fiziki mozu? ra barresi kard,ba?d fiziki mozu? ra barresi kard
152221,152221,پلیس گَنگ را متلاشی کرد.,پلیس گنگ را متلاشی کرد.,polis gong rA motelASi kard,polis gong rA motelASi kard
167526,167526,قوانین سخت‌گیرانه‌تر اِعمال شده‌اند.,قوانین سخت‌گیرانه‌تر اعمال شده‌اند.,qavAnine saxtgirAnetar ?a?mAl Sodeand,qavAnine saxtgirAnetar ?a?mAl Sodeand
33812,33812,او دُم بادبادک را بست.,او دم بادبادک را بست.,?u dome bAdbAdak rA bast,?u dome bAdbAdak rA bast
149471,149471,گِل دیوار ترک برداشت.,گل دیوار ترک برداشت.,gole divAr tarak bardASt,gole divAr tarak bardASt
176910,176910,قَسَم همیشه به فرزندانش مهربانی می‌کرد.,قسم همیشه به فرزندانش مهربانی می‌کرد.,qasam hamiSe be farzandAnaS mehrabAni mikard,qasam hamiSe be farzandAnaS mehrabAni mikard
88107,88107,یک مَرد میان‌سال کنار ایستاد.,یک مرد میان‌سال کنار ایستاد.,yek marde miyAnye sAl kenAreye ?istAd,yek marde miyAnye sAl kenAreye ?istAd
121301,121301,تمرین کُر داشتند.,تمرین کر داشتند.,tamrin kar dAStand,tamrin kar dAStand
143354,143354,سربازان در گُردان سازماندهی شدند.,سربازان در گردان سازماندهی شدند.,sarbAzAn dar gordAne sAzmAndehi Sodand,sarbAzAn dar gordAne sAzmAndehi Sodand
143398,143398,سربازان در گُردان سازماندهی شدند.,سربازان در گردان سازماندهی شدند.,sarbAzAn dar gordAne sAzmAndehi Sodand,sarbAzAn dar gordAne sAzmAndehi Sodand
90027,90027,او به وجود مَلَک‌ها ایمان دارد.,او به وجود ملک‌ها ایمان دارد.,?u bevojude malekhA ?imAn dArad,?u bevojude malekhA ?imAn dArad
51228,51228,او زِبَر همه ایستاد.,او زبر همه ایستاد.,?u zebre hameye ?istAd,?u zebre hameye ?istAd
73157,73157,امتحان طُوْل کشید.,امتحان طول کشید.,?emtehAne tul keSid,?emtehAne tul keSid
181696,181696,وقتی اسم پِلِّه را می‌شنوم یاد کودکی‌ام می‌افتم.,وقتی اسم پله را می‌شنوم یاد کودکی‌ام می‌افتم.,vaqti ?esme pelle rA miSenavam yAde kudakiam mioftam,vaqti ?esme pelle rA miSenavam yAde kudakiam mioftam
45,45,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.,?aplikeySenhAye ?apel gerAfike bAlAyi dArand,?aplikeySenhAye ?apel gerAfike bAlAyi dArand
174304,174304,امروز درباره‌ی بُر در کلاس صحبت شد.,امروز درباره‌ی بر در کلاس صحبت شد.,?emruz darbAreye bar dar kelAs sohbat Sod,?emruz darbAreye bar dar kelAs sohbat Sod
37532,37532,خانه‌شان خیلی دور است.,خانه‌شان خیلی دور است.,xAneSAn xeyli dur ?ast,xAneSAn xeyli dur ?ast
133034,133034,کُل جمعیت تشویق کردند.,کل جمعیت تشویق کردند.,kole jam?iyyat taSviq kardand,kole jam?iyyat taSviq kardand
39733,39733,او در دوران نوجوانی ورزشکار بود.,او در دوران نوجوانی ورزشکار بود.,?u dar dorAne nojavAni varzeSkAr bud,?u dar dorAne nojavAni varzeSkAr bud
152990,152990,گَنگ در شهر نفوذ داشت.,گنگ در شهر نفوذ داشت.,gang dar Sahre nofuz dASt,gang dar Sahre nofuz dASt
33909,33909,دُم ماهی در آب تکان خورد.,دم ماهی در آب تکان خورد.,dome mAhi dar ?Ab tekAn xord,dome mAhi dar ?Ab tekAn xord
104296,104296,با شدت هُل خورد.,با شدت هل خورد.,bA Seddat hel xord,bA Seddat hel xord
142342,142342,توربین گَردان برق تولید می‌کند.,توربین گردان برق تولید می‌کند.,turbine gardAne barq tolid mikonad,turbine gardAne barq tolid mikonad
162818,162818,اطراف اَرگ خندقی عمیق قرار دارد.,اطراف ارگ خندقی عمیق قرار دارد.,?atrAf ?orge xandaqi ?amiq qarAr dArad,?atrAf ?orge xandaqi ?amiq qarAr dArad
173496,173496,همه از سَروَر احترام می‌گذارند.,همه از سرور احترام می‌گذارند.,hame ?az server ?ehterAm migozArand,hame ?az server ?ehterAm migozArand
45671,45671,زمین را تمیز رُفت.,زمین را تمیز رفت.,zamin rA tamiz raft,zamin rA tamiz raft
57174,57174,سِحر و افسون در داستان وجود داشت.,سحر و افسون در داستان وجود داشت.,sehr va ?afsun dar dAstAn vojud dASt,sehr va ?afsun dar dAstAn vojud dASt
83440,83440,در این بازی لِم خاصی دارد.,در این بازی لم خاصی دارد.,dar ?in bAzi lome xAsi dArad,dar ?in bAzi lome xAsi dArad
20515,20515,کاش تُو هم می‌آمدی.,کاش تو هم می‌آمدی.,kAS to ham miAmadi,kAS to ham miAmadi
148206,148206,به او یک گُل قرمز داد.,به او یک گل قرمز داد.,be ?u yek gole qermez dAd,be ?u yek gole qermez dAd
132508,132508,سرش کاملاً کَل شده بود.,سرش کاملا کل شده بود.,sereS kAmelan kel Sode bud,sereS kAmelan kel Sode bud
42044,42044,آرزویش رَسْتَن از سختی‌ها بود.,آرزویش رستن از سختی‌ها بود.,?ArezuyaS restan ?az saxtihA bud,?ArezuyaS restan ?az saxtihA bud
11870,11870,بِن در دانشگاه برتر درس می‌خواند.,بن در دانشگاه برتر درس می‌خواند.,ben dar dAneSgah bartar dars mixAnad,ben dar dAneSgah bartar dars mixAnad
155373,155373,حرفم را با گوشِت بشنو.,حرفم را با گوشت بشنو.,harfam rA bA guSt beSeno,harfam rA bA guSt beSeno
100398,100398,نَقل بیماران با آمبولانس بود.,نقل بیماران با آمبولانس بود.,noqle bimArAn bA ?AmbolAns bud,noqle bimArAn bA ?AmbolAns bud
143580,143580,سربازان در گُردان سازماندهی شدند.,سربازان در گردان سازماندهی شدند.,sarbAzAn dar gordAne sAzmAndehi Sodand,sarbAzAn dar gordAne sAzmAndehi Sodand
151899,151899,او از رفتارم گِله داشت.,او از رفتارم گله داشت.,?u ?az raftAram gele dASt,?u ?az raftAram gele dASt
86224,86224,برای تحقیق از مَراجِع معتبر استفاده کن.,برای تحقیق از مراجع معتبر استفاده کن.,barAye tahqiq ?az marAjeye?e mo?tabar ?estefAde kon,barAye tahqiq ?az marAjeye?e mo?tabar ?estefAde kon
125149,125149,با زلزله کِرَک ظاهر شد.,با زلزله کرک ظاهر شد.,bA zelzeleye kork zAher Sod,bA zelzeleye kork zAher Sod
20165,20165,کاش تُو هم می‌آمدی.,کاش تو هم می‌آمدی.,kAS to ham miAmadi,kAS to ham miAmadi
115343,115343,پَله زیادی پرداخت کرد.,پله زیادی پرداخت کرد.,pelleye ziyAdi pardAxt kard,pelleye ziyAdi pardAxt kard
47574,47574,موزه‌ای در رُم بازدید شد.,موزه‌ای در رم بازدید شد.,muzei dar rom bAzdid Sod,muzei dar rom bAzdid Sod
108749,108749,پُرْس درباره موضوع مهمی بود.,پرس درباره موضوع مهمی بود.,peres darbAreyeye mozuye?e mohemmi bud,peres darbAreyeye mozuye?e mohemmi bud
185191,185191,به نظر من کُنْد نقش مهمی در خانواده دارد.,به نظر من کند نقش مهمی در خانواده دارد.,benazare man kond naqSe mohemmi dar xAnevAde dArad,benazare man kond naqSe mohemmi dar xAnevAde dArad
172276,172276,همه از زُهره احترام می‌گذارند.,همه از زهره احترام می‌گذارند.,hame ?az zahre ?ehterAm migozArand,hame ?az zahre ?ehterAm migozArand
101465,101465,یک مشت نُقل به او داد.,یک مشت نقل به او داد.,yek moSt noql be ?u dAd,yek moSt noql be ?u dAd
2277,2277,پرنده‌ای بَر شاخه نشسته بود.,پرنده‌ای بر شاخه نشسته بود.,parande?i bar SAxeye naSoste bud,parande?i bar SAxeye naSoste bud
78828,78828,قِسْم خاصی را انتخاب کرد.,قسم خاصی را انتخاب کرد.,qesme xAsi rA ?entexAb kard,qesme xAsi rA ?entexAb kard
129733,129733,مسافران سوار کِشتی شدند.,مسافران سوار کشتی شدند.,mosaferAn savAre kaSti Sodand,mosaferAn savAre kaSti Sodand
143166,143166,گُردان به مرز اعزام شد.,گردان به مرز اعزام شد.,gordAn be marze ?e?zAm Sod,gordAn be marze ?e?zAm Sod
107247,107247,اتاق پُر از نور شد.,اتاق پر از نور شد.,?otAqe por ?az nur Sod,?otAqe por ?az nur Sod
82481,82481,روی صندلی راحتی لَم دادم.,روی صندلی راحتی لم دادم.,ruye sandaliye rAhati lam dAdam,ruye sandaliye rAhati lam dAdam
7253,7253,بُعد فیزیکی موضوع را بررسی کرد.,بعد فیزیکی موضوع را بررسی کرد.,ba?d fiziki mozu? ra barresi kard,ba?d fiziki mozu? ra barresi kard
161351,161351,او یک اَبَر پروژه را مدیریت می‌کند.,او یک ابر پروژه را مدیریت می‌کند.,?u yek ?abare proje ra modiriyyat mikonad,?u yek ?abare proje ra modiriyyat mikonad
186647,186647,کتابی درباره‌ی گُزیده خوانده‌ام که خیلی جالب بود.,کتابی درباره‌ی گزیده خوانده‌ام که خیلی جالب بود.,ketAbi darbAreye gozide xAnde ?am ke xeili jAleb bud,ketAbi darbAreye gozide xAnde ?am ke xeili jAleb bud
5772,5772,هر روز از یک بُرِس جدید استفاده می‌کند.,هر روز از یک برس جدید استفاده می‌کند.,har ruz ?az yek borese jadid ?estefAde mikonad,har ruz ?az yek borese jadid ?estefAde mikonad
154515,154515,گوشت تازه خریدیم.,گوشت تازه خریدیم.,guSte tAze xaridim,guSte tAze xaridim
10731,10731,بُن نظریه را باید درک کرد.,بن نظریه را باید درک کرد.,bene nazariye rA bAyad dark kard,bene nazariye rA bAyad dark kard
83819,83819,او همه لِم‌های مذاکره را می‌داند.,او همه لم‌های مذاکره را می‌داند.,?u hameye lamhAye mozAkere rA midAnad,?u hameye lamhAye mozAkere rA midAnad
102645,102645,نَه، نمی‌توانم بیایم.,نه، نمی‌توانم بیایم.,na nemitavAnam biyAyam,na nemitavAnam biyAyam
57352,57352,کتابی درباره سِحر و جادو خواند.,کتابی درباره سحر و جادو خواند.,ketAbi darbAreyeye sehr va jAdu xAnd,ketAbi darbAreyeye sehr va jAdu xAnd
38157,38157,ماشین دَوَران ناگهانی داشت.,ماشین دوران ناگهانی داشت.,mASin dorAne nAgahAni dASt,mASin dorAne nAgahAni dASt
22130,22130,اثبات جُرم دشوار بود.,اثبات جرم دشوار بود.,?esbAte jorm doSvAr bud,?esbAte jorm doSvAr bud
53070,53070,جرأت و زَهره‌اش کم است.,جرأت و زهره‌اش کم است.,jor?at va zahre?aS kam ?ast,jor?at va zahre?aS kam ?ast
118826,118826,چِک امضا شده بود.,چک امضا شده بود.,Cak ?emzA Sode bud,Cak ?emzA Sode bud
145201,145201,هر گِرَم طلا چقدر است؟,هر گرم طلا چقدر است؟,har geram talA Ceqadr ?ast,har geram talA Ceqadr ?ast
161858,161858,اَبَر مخترع قرن بیست و یکم شناخته شد.,ابر مخترع قرن بیست و یکم شناخته شد.,?abare moxtare? qarne bist ?o yekom SenAxte Sod,?abare moxtare? qarne bist ?o yekom SenAxte Sod
41395,41395,دِیْن بزرگی بر گردنش بود.,دین بزرگی بر گردنش بود.,deyine bozorgi bar gardanaS bud,deyne bozorgi bar gardanaS bud
172822,172822,هیچ‌کس مثل سَر نمی‌تواند خانواده را هدایت کند.,هیچ‌کس مثل سر نمی‌تواند خانواده را هدایت کند.,hiC kas mesleye sar nemitavAnad xAnevAde rA hedAyat konad,hiC kas mesleye sar nemitavAnad xAnevAde rA hedAyat konad
5611,5611,بُرِس گرد برای خشک‌کردن مو استفاده شد.,برس گرد برای خشک‌کردن مو استفاده شد.,borese gerd barAye xoSk kardane mu ?estefAde Sod,borese gerd barAye xoSk kardane mu ?estefAde Sod
50177,50177,دیوار زِبْر رنگ نشده بود.,دیوار زبر رنگ نشده بود.,divAre zebre rang naSode bud,divAr zabre rang naSode bud
4549,4549,ببینم کی می‌تونی بِرِس خونه.,ببینم کی می‌تونی برس خونه.,bebinam ki mituni beres xAne,bebinam ki mituni beres xAne
170778,170778,وقتی اسم دِیْن را می‌شنوم یاد کودکی‌ام می‌افتم.,وقتی اسم دین را می‌شنوم یاد کودکی‌ام می‌افتم.,vaqti ?esme din rA miSenavam yAd kudakiam mioftam,vaqti ?esme din rA miSenavam yAd kudakiam mioftam
29572,29572,او خِر ماشینش را تعمیر کرد.,او خر ماشینش را تعمیر کرد.,?u xare mASinaS rA ta?mir kard,?u xare mASinaS rA ta?mir kard
149287,149287,زمین پر از گِل بود.,زمین پر از گل بود.,zamin por ?az gel bud,zamin por ?az gel bud
138046,138046,او گودالی کَن.,او گودالی کن.,?u gudAli kon,?u gudAli kon
148983,148983,گُل نماد زیبایی است.,گل نماد زیبایی است.,gol namAde zibAyi ?ast,gol namAde zibAyi ?ast
31557,31557,خُلْق آرامش‌بخشش معروف است.,خلق آرامش‌بخشش معروف است.,xalleqe ?ArAmeSbaxSeSe ma?ruf ?ast,xalqe ?ArAmeSbaxSeSe ma?ruf ?ast
103733,103733,نُه گل در باغچه بود.,نه گل در باغچه بود.,na gol dar bAqCe bud,na gol dar bAqCe bud
76691,76691,عُذْرخواهی کرد و بخشیده شد.,عذرخواهی کرد و بخشیده شد.,?az naxAhi kard va baxSide Sod,?ozrxAhi kard va baxSide Sod
2841,2841,او کتاب را بَر میز گذاشت.,او کتاب را بر میز گذاشت.,?u ketAb rA bar miz gozASt,?u ketAb rA bar miz gozASt
159726,159726,دانشجو از ارائه پروژه خود اِبا نمود.,دانشجو از ارائه پروژه خود ابا نمود.,dAneSju ?az ?erA?eye projeye xod ?ebA nemud,dAneSju ?az ?erA?eye projeye xod ?ebA nemud
49634,49634,روش اتاق را تغییر دادیم.,روش اتاق را تغییر دادیم.,raveSe ?otAq rA taqir dAdim,raveSe ?otAq rA taqir dAdim
150109,150109,گَلّه به کوه رفت.,گله به کوه رفت.,galle be kuh raft,galle be kuh raft
51755,51755,او زِبَر همه ایستاد.,او زبر همه ایستاد.,?u zebre hameye ?istAd,?u zebre hameye ?istAd
64594,64594,ورزش برای کاهش شِکَم مفید است.,ورزش برای کاهش شکم مفید است.,varzeS barAye kAheSe Sekam mofid ?ast,varzeS barAye kAheSe Sekam mofid ?ast
113138,113138,از طریق پُست نامه آمد.,از طریق پست نامه آمد.,?az tariqe post nAme ?Amad,?az tariqe post nAme ?Amad
12660,12660,در لحظه‌ای از بُهْت خشک شد.,در لحظه‌ای از بهت خشک شد.,dar lahzei ?az boht xoSk Sod,dar lahzei ?az boht xoSk Sod
17482,17482,این ماشین توان حمل پنج تُن دارد.,این ماشین توان حمل پنج تن دارد.,?in mASin tavAne hamle panj tan dArad,?in mASin tavAne hamle panj tan dArad
100884,100884,نَقل دانشجو به دانشگاه دیگر.,نقل دانشجو به دانشگاه دیگر.,noqle dAneSju be dAneSgAhe digar,noqle dAneSju be dAneSgAhe digar
140102,140102,کَک او را نیش زد.,کک او را نیش زد.,kek ?u rA niS zad,kek ?u rA niS zad
39795,39795,دوران مدرسه فراموش‌نشدنی است.,دوران مدرسه فراموش‌نشدنی است.,dorAne madrese farAmuS naSodani ?ast,dorAne madrese farAmuS naSodani ?ast
