,Unnamed: 0,sentence,text_no_eraab,pinglish_from_errab,pinglish_from_no_errab
152964,152964,او عضو یک گَنگ خطرناک بود.,او عضو یک گنگ خطرناک بود.,?u ?ozve yek gange xatarnAk bud,?u ?ozve yek gange xatarnAk bud
174875,174875,شُل همیشه به فرزندانش مهربانی می‌کرد.,شل همیشه به فرزندانش مهربانی می‌کرد.,Sol hamiSe be farzandAnaS mehrabAni mikard,Sol hamiSe be farzandAnaS mehrabAni mikard
32871,32871,لحظه‌ای دَم نزد.,لحظه‌ای دم نزد.,lahzei dam nazad,lahzei dam nazad
1586,1586,لباس رسمی با اِپُل بلند تهیه شد.,لباس رسمی با اپل بلند تهیه شد.,lebAse rasmi bA ?epole bolande tahiyye Sod,lebAse rasmi bA ?epole bolande tahiyye Sod
37322,37322,صدایش از دور می‌آمد.,صدایش از دور می‌آمد.,sedAS ?az dur miAmad,sedAS ?az dur miAmad
159104,159104,همیشه از مواجهه مستقیم با مشکل اِبا دارد.,همیشه از مواجهه مستقیم با مشکل ابا دارد.,hamiSe ?az movAjehe mostaqim bA moSkel ?ebA dArad,hamiSe ?az movAjehe mostaqim bA moSkel ?ebA dArad
3422,3422,بازی با یک بُر آغاز شد.,بازی با یک بر آغاز شد.,bAzi bA yek bar ?AqAz Sod,bAzi bA yek bar ?AqAz Sod
124638,124638,کُرْک لباس در نور برق می‌زد.,کرک لباس در نور برق می‌زد.,kore ke lebAs dar nure barq mizad,korke lebAs dar nure barq mizad
91980,91980,او چند مِلْک در شهر دارد.,او چند ملک در شهر دارد.,?u Cand melk dar Sahr dArad,?u Cand melk dar Sahr dArad
157477,157477,یُد در داروخانه یافت می‌شود.,ید در داروخانه یافت می‌شود.,yed dar dAruxAne yAft miSavad,yed dar dAruxAne yAft miSavad
45108,45108,زمین را تمیز رُفت.,زمین را تمیز رفت.,zamin rA tamiz raft,zamin rA tamiz raft
143482,143482,گُردان به مرز اعزام شد.,گردان به مرز اعزام شد.,gordAn be marze ?e?zAm Sod,gordAn be marze ?e?zAm Sod
128677,128677,کُشتی ورزش ملی ایران است.,کشتی ورزش ملی ایران است.,koSti varzeSe melliye ?irAn ?ast,koSti varzeSe melliye ?irAn ?ast
190290,190290,جِرم همیشه به فرزندانش مهربانی می‌کرد.,جرم همیشه به فرزندانش مهربانی می‌کرد.,jorm hamiSe be farzandAnaS mehrabAni mikard,jorm hamiSe be farzandAnaS mehrabAni mikard
43474,43474,گیاهان در بهار رُسْتَن می‌کنند.,گیاهان در بهار رستن می‌کنند.,giyAhAn dar bahAr restan mikonand,giyAhAn dar bahAr restan mikonand
187379,187379,دیروز با گُنگ صحبت کردم و چیزهای جالبی گفت.,دیروز با گنگ صحبت کردم و چیزهای جالبی گفت.,diruz bA gong sohbat kardam va CizhAye jAlebi goft,diruz bA gong sohbat kardam va CizhAye jAlebi goft
109376,109376,لباس را با پِرِس صاف کرد.,لباس را با پرس صاف کرد.,lebAs rA bA pors sAf kard,lebAs rA bA pors sAf kard
86526,86526,بدون ذکر مَراجِع مقاله ناقص است.,بدون ذکر مراجع مقاله ناقص است.,beduneye zekr marAjeye?e maqAle nAqes ?ast,beduneye zekr marAjeye?e maqAle nAqes ?ast
37774,37774,صدایش از دور می‌آمد.,صدایش از دور می‌آمد.,sedAS ?az dur miAmad,sedAS ?az dur miAmad
4607,4607,ببینم کی می‌تونی بِرِس خونه.,ببینم کی می‌تونی برس خونه.,bebinam ki mituni beres xAne,bebinam ki mituni beres xAne
38144,38144,دَوَران سیاره‌ها شگفت‌انگیز است.,دوران سیاره‌ها شگفت‌انگیز است.,dorAne sayyArehA Segeft ?angiz ?ast,dorAne sayyArehA Segeft ?angiz ?ast
173096,173096,سُر در فرهنگ ما جایگاه ویژه‌ای دارد.,سر در فرهنگ ما جایگاه ویژه‌ای دارد.,ser dar farhange mA jAygAhe vizhei dArad,sardar farhange mA jAygAhe vizhei dArad
18165,18165,او در تَنگنا قرار گرفت.,او در تنگنا قرار گرفت.,?u dar tangnA qarAr gereft,?u dar tangnA qarAr gereft
190637,190637,کتابی درباره‌ی جُم خوانده‌ام که خیلی جالب بود.,کتابی درباره‌ی جم خوانده‌ام که خیلی جالب بود.,ketAbi darbAreye jam xAnde ?am ke xeili jAleb bud,ketAbi darbAreye jam xAnde ?am ke xeili jAleb bud
104576,104576,در را هُل داد تا باز شود.,در را هل داد تا باز شود.,dar rA hol dAd tA bAz Savad,dar rA hol dAd tA bAz Savad
3967,3967,ورق‌ها را بُر زدند.,ورق‌ها را بر زدند.,varaqhA rA bor zadand,varaqhA rA bor zadand
184080,184080,تَرَک در فرهنگ ما جایگاه ویژه‌ای دارد.,ترک در فرهنگ ما جایگاه ویژه‌ای دارد.,tarak dar farhange mA jAygAhe vizhei dArad,tarak dar farhange mA jAygAhe vizhei dArad
164380,164380,در این برنامه اَشکال زیادی وجود دارد.,در این برنامه اشکال زیادی وجود دارد.,dar ?in barnAme ?eSkAle ziyAdi vojud dArad,dar ?in barnAme ?eSkAle ziyAdi vojud dArad
89311,89311,پدرش ناگهانی مُرد.,پدرش ناگهانی مرد.,pedaraS nAgahAniye mord,pedaraS nAgahAniye mord
836,836,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.,?u ?az tarafdArAne mahasulAte ?apel ?ast,?u ?az tarafdArAne mahasulAte ?apel ?ast
50881,50881,سطح میز زِبْر بود.,سطح میز زبر بود.,sathe mize zabr bud,sathe mize zebr bud
16097,16097,او تَن خسته‌ای داشت.,او تن خسته‌ای داشت.,?u tane xastei dASt,?u tane xastei dASt
17508,17508,یک تُن آهن خریدند.,یک تن آهن خریدند.,yek ton ?Ahan xaridand,yek ton ?Ahan xaridand
39515,39515,دوران سختی را پشت سر گذاشت.,دوران سختی را پشت سر گذاشت.,dorAne saxti rA poSte sar gozASt,dorAne saxti rA poSte sar gozASt
29574,29574,خِر خودرو پوسیده بود.,خر خودرو پوسیده بود.,xare xodro puside bud,xare xodro puside bud
21879,21879,نقشه تو کیف گم شد.,نقشه تو کیف گم شد.,naqSeye to keyf gom Sod,naqSeye to keyf gom Sod
58004,58004,او با یک لقمه سیر شد.,او با یک لقمه سیر شد.,?u bA yek loqme sir Sod,?u bA yek loqme sir Sod
182272,182272,امروز درباره‌ی کَر در کلاس صحبت شد.,امروز درباره‌ی کر در کلاس صحبت شد.,?emruz darbAreye kor dar kelAs sohbat Sod,?emruz darbAreye kor dar kelAs sohbat Sod
40799,40799,احترام به دین دیگران واجب است.,احترام به دین دیگران واجب است.,?ehterAm be dine digarAn vAjeb ?ast,?ehterAm be dine digarAn vAjeb ?ast
40630,40630,مطالعه دین‌های مختلف جالب است.,مطالعه دین‌های مختلف جالب است.,motAle?e dinhAye moxtalefe jAleb ?ast,motAle?e dinhAye moxtalefe jAleb ?ast
24508,24508,او شادی را در دل طبیعت می‌جُست.,او شادی را در دل طبیعت می‌جست.,?u SAdi rA dar dele tabi?at mijost,?u SAdi rA dar dele tabi?at mijost
62132,62132,شیر وحشی حمله کرد.,شیر وحشی حمله کرد.,Sire vahSi hamle kard,Sire vahSi hamle kard
125973,125973,کِرَک کف اتاق دیده می‌شد.,کرک کف اتاق دیده می‌شد.,karake kafe ?otAq dide miSod,karake kafe ?otAq dide miSod
163714,163714,کودک از صدای اُرگ لذت برد.,کودک از صدای ارگ لذت برد.,kudak ?az sedAye ?arg lezzat bord,kudak ?az sedAye ?arg lezzat bord
81026,81026,در فیلم، بازیگر لُخْت بود.,در فیلم، بازیگر لخت بود.,dar filme bAzigar loxt bud,dar film bAzigare loxt bud
159206,159206,با وجود پیشنهاد مناسب، از معامله اِبا کرد.,با وجود پیشنهاد مناسب، از معامله ابا کرد.,bA vojude piSnehAde monAseb ?az mo?Amele ?ebA kard,bA vojude piSnehAde monAseb ?az mo?Amele ?ebA kard
72340,72340,طُول لباس بلند بود.,طول لباس بلند بود.,tule lebAse boland bud,tule lebAse boland bud
13923,13923,گفتم بِهِت اعتماد دارم.,گفتم بهت اعتماد دارم.,goftam boht ?e?temAd dAram,goftam boht ?e?temAd dAram
76745,76745,بی‌عُذْر نیاید سر کلاس.,بی‌عذر نیاید سر کلاس.,bi ?ozr nayAyad sare kelAs,bi ?ozr nayAyad sare kelAs
132858,132858,کَل بودن ارثی است.,کل بودن ارثی است.,kal budan ?ersi ?ast,kal budan ?ersi ?ast
121623,121623,گروه کُر زیبا خواندند.,گروه کر زیبا خواندند.,goruhe kor zibA xAndand,goruhe kor zibA xAndand
10826,10826,آب از بُن چاه بالا کشیده شد.,آب از بن چاه بالا کشیده شد.,?Ab ?az bene CAh bAlA keshide Sod,?Ab ?az bene CAh bAlA keshide Sod
144865,144865,گَرْم بودن باعث خواب‌آلودگی شد.,گرم بودن باعث خواب‌آلودگی شد.,garm budan bA?ese xAbAludegi Sod,garm budan bA?ese xAbAludegi Sod
173270,173270,امروز درباره‌ی سِر در کلاس صحبت شد.,امروز درباره‌ی سر در کلاس صحبت شد.,?emruz darbAreye sar dar kelAs sohbat Sod,?emruz darbAreye sardare kelAs sohbat Sod
18565,18565,تَنگ نظری باعث ناراحتی شد.,تنگ نظری باعث ناراحتی شد.,tonge nazari bA?ese nArAhati Sod,tange nazari bA?ese nArAhati Sod
152443,152443,پلیس گَنگ را متلاشی کرد.,پلیس گنگ را متلاشی کرد.,polis gong rA motelASi kard,polis gong rA motelASi kard
80226,80226,دارو برای جلوگیری از لَخْت تجویز شد.,دارو برای جلوگیری از لخت تجویز شد.,dAru barAye jelogiri ?az loxt tajviz Sod,dAru barAye jelogiri ?az loxt tajviz Sod
74551,74551,او به عَدْل معتقد است.,او به عدل معتقد است.,?u be ?adle mo?taqed ?ast,?u be ?adle mo?taqed ?ast
190486,190486,هیچ‌کس مثل جَستَن نمی‌تواند خانواده را هدایت کند.,هیچ‌کس مثل جستن نمی‌تواند خانواده را هدایت کند.,hiC kas mesleye jostan nemitavAnad xAnevAde rA hedAyat konad,hiC kas mesleye jostan nemitavAnad xAnevAde rA hedAyat konad
128953,128953,تمرین کُشتی روزانه دارد.,تمرین کشتی روزانه دارد.,tamrine koSti ruzAne dArad,tamrine koSti ruzAne dArad
43489,43489,بذرها شروع به رُسْتَن کردند.,بذرها شروع به رستن کردند.,bazrhA Soru? be resetan kardand,bazrhA Soru? be rastan kardand
150288,150288,گَلّه گاو در مزرعه بودند.,گله گاو در مزرعه بودند.,galleye gAv dar mazra?e budand,galleye gAv dar mazra?e budand
114023,114023,پِلِّه‌ها را تمیز کردند.,پله‌ها را تمیز کردند.,pellehA rA tamiz kardand,pellehA rA tamiz kardand
22143,22143,دادگاه جُرم را بررسی می‌کند.,دادگاه جرم را بررسی می‌کند.,dAdgAhe jerm rA barresi mikonad,dAdgAhe jerm rA barresi mikonad
26676,26676,این طراحی دارای حُسْن فراوانی است.,این طراحی دارای حسن فراوانی است.,?in tarrAhi dArAye hosne farAvAni ?ast,?in tarrAhi dArAye hasane farAvAni ?ast
74358,74358,عَدْل نشانه انسانیت است.,عدل نشانه انسانیت است.,?adal neshaneye ?ensAniyat ?ast,?adal neshaneye ?ensAniyat ?ast
181278,181278,پُز همیشه به فرزندانش مهربانی می‌کرد.,پز همیشه به فرزندانش مهربانی می‌کرد.,poz hamiSe be farzandAnaS mehrabAni mikard,poz hamiSe be farzandAnaS mehrabAni mikard
127313,127313,زمین را برای کِشت آماده کرد.,زمین را برای کشت آماده کرد.,zamin rA barAye keSt ?AmAde kard,zamin rA barAye keSt ?AmAde kard
75335,75335,یک عِدْل کتاب سفارش داد.,یک عدل کتاب سفارش داد.,yek ?adale ketAb sefAreS dAd,yek ?adle ketAb sefAreS dAd
153821,153821,با گُنگی حرف زد.,با گنگی حرف زد.,bA gongi harf zad,bA gongi harf zad
178230,178230,امروز درباره‌ی مُرد در کلاس صحبت شد.,امروز درباره‌ی مرد در کلاس صحبت شد.,?emruz darbAreye mard dar kelAs sohbat Sod,?emruz darbAreye mard dar kelAs sohbat Sod
48278,48278,رَوِش تدریسش متفاوت بود.,روش تدریسش متفاوت بود.,raveSe tadriseSe motAfevet bud,raveSe tadriseSe motAfevet bud
123987,123987,کُره زمین گرم‌تر شده است.,کره زمین گرم‌تر شده است.,koreye zamin garmtar Sode ?ast,koreye zamin garmtar Sode ?ast
177037,177037,قِسْم همیشه به فرزندانش مهربانی می‌کرد.,قسم همیشه به فرزندانش مهربانی می‌کرد.,qasam hamiSe be farzandAnaS mehrabAni mikard,qasam hamiSe be farzandAnaS mehrabAni mikard
31232,31232,خُلْق آرامش‌بخشش معروف است.,خلق آرامش‌بخشش معروف است.,xalleqe ?ArAmeSbaxSeSe ma?ruf ?ast,xalqe ?ArAmeSbaxSeSe ma?ruf ?ast
7367,7367,بُعد اجتماعی تصمیم اهمیت دارد.,بعد اجتماعی تصمیم اهمیت دارد.,bo?de ?ejtemA?i tasmim ?ahammiat dArad,bo?de ?ejtemA?i tasmim ?ahammiat dArad
135089,135089,دیوار بسیار کُلُفت بود.,دیوار بسیار کلفت بود.,divAr besyAr koloft bud,divAr besyAr koloft bud
57244,57244,با سِحر مردم را فریب داد.,با سحر مردم را فریب داد.,bA sahar mardom rA farib dAd,bA sahar mardom rA farib dAd
88462,88462,پدرم مَرد مهربانی است.,پدرم مرد مهربانی است.,pedaram marde mehrabAni ?ast,pedaram marde mehrabAni ?ast
49750,49750,نور خورشید باعث روش خانه شد.,نور خورشید باعث روش خانه شد.,nure xorSid bA?ese raveSe xAne Sod,nure xorSid bA?ese raveSe xAne Sod
159974,159974,آنها از همکاری با ما اِبا ورزیدند.,آنها از همکاری با ما ابا ورزیدند.,?An hA ?az hamkAri bA mA ?abA varzidand,?An hA ?az hamkAri bA mA ?abA varzidand
47535,47535,موزه‌ای در رُم بازدید شد.,موزه‌ای در رم بازدید شد.,muzei dar rom bAzdid Sod,muzei dar rom bAzdid Sod
130118,130118,مرده را با کَفَن دفن کردند.,مرده را با کفن دفن کردند.,morde rA bA kafn dafn kardand,morde rA bA kafn dafn kardand
158291,158291,اَبا همیشه برای فرزندانش فداکاری می‌کرد.,ابا همیشه برای فرزندانش فداکاری می‌کرد.,?ebA hamiSe barAye farzandAnaS fadAkAri mikard,?ebA hamiSe barAye farzandAnaS fadAkAri mikard
173346,173346,سَروَر در فرهنگ ما جایگاه ویژه‌ای دارد.,سرور در فرهنگ ما جایگاه ویژه‌ای دارد.,server dar farhange mA jAygAhe vizhei dArad,server dar farhange mA jAygAhe vizhei dArad
19304,19304,تُنگ بلوری روی میز بود.,تنگ بلوری روی میز بود.,tonge boluri ruye miz bud,tonge boluri ruye miz bud
93919,93919,مِهر و محبتش را حس کردم.,مهر و محبتش را حس کردم.,mehr ?o mohabbataS rA hes kardam,mehr ?o mohabbataS rA hes kardam
94952,94952,آب‌نبات را آرام مَک زد.,آب‌نبات را آرام مک زد.,?Ab nabAt rA ?ArAm mak zad,?Ab nabAt rA ?ArAm mak zad
169929,169929,امروز درباره‌ی دِه در کلاس صحبت شد.,امروز درباره‌ی ده در کلاس صحبت شد.,?emruz darbAreye dah dar kelAs sohbat Sod,?emruz darbAreye dah dar kelAs sohbat Sod
129628,129628,مسافران سوار کِشتی شدند.,مسافران سوار کشتی شدند.,mosaferAn savAre kaSti Sodand,mosaferAn savAre kaSti Sodand
51754,51754,کتاب زِبَر قفسه بود.,کتاب زبر قفسه بود.,ketAbe zabre qafase bud,ketAbe zabre qafase bud
2268,2268,او کتاب را بَر میز گذاشت.,او کتاب را بر میز گذاشت.,?u ketAb rA bar miz gozASt,?u ketAb rA bar miz gozASt
18659,18659,کفش تَنگ پایش را اذیت کرد.,کفش تنگ پایش را اذیت کرد.,kafSe tong pAyaS rA ?aziyat kard,kafSe tong pAyaS rA ?aziyat kard
13684,13684,از وقتی بِهِت گفتم، ناراحت شدی.,از وقتی بهت گفتم، ناراحت شدی.,?az vaqti boht goftam nArAhat Sodi,?az vaqti boht goftam nArAhat Sodi
126448,126448,او بی‌گناه را کُشت.,او بی‌گناه را کشت.,?u bigonAh rA koSt,?u bigonAh rA koSt
5900,5900,هر روز از یک بُرِس جدید استفاده می‌کند.,هر روز از یک برس جدید استفاده می‌کند.,har ruz ?az yek borese jadid ?estefAde mikonad,har ruz ?az yek borese jadid ?estefAde mikonad
85702,85702,برای لِنگ راستش عصا گرفت.,برای لنگ راستش عصا گرفت.,barAye long rAsteS ?asA gereft,barAye long rAsteS ?asA gereft
22046,22046,او به خاطر جُرمش بازداشت شد.,او به خاطر جرمش بازداشت شد.,?u bexAtere jormaS bAzdASt Sod,?u bexAtere jormaS bAzdASt Sod
174944,174944,شُل همیشه در داستان‌های قدیمی ذکر شده‌است.,شل همیشه در داستان‌های قدیمی ذکر شده‌است.,Sol hamiSe dar dAstAnhAye qadimi zekr Sodeast,Sol hamiSe dar dAstAnhAye qadimi zekr Sodeast
123529,123529,کُره زمین گرم‌تر شده است.,کره زمین گرم‌تر شده است.,koreye zamin garmtar Sode ?ast,koreye zamin garmtar Sode ?ast
13362,13362,از وقتی بِهِت گفتم، ناراحت شدی.,از وقتی بهت گفتم، ناراحت شدی.,?az vaqti boht goftam nArAhat Sodi,?az vaqti boht goftam nArAhat Sodi
86687,86687,بدون ذکر مَراجِع مقاله ناقص است.,بدون ذکر مراجع مقاله ناقص است.,beduneye zekr marAjeye?e maqAle nAqes ?ast,beduneye zekr marAjeye?e maqAle nAqes ?ast
32950,32950,یک دَم صبر کن.,یک دم صبر کن.,yek dame sabr kon,yek dam sabr kon
151989,151989,گِله‌ات را قبول دارم.,گله‌ات را قبول دارم.,galleat rA qabul dAram,galleat rA qabul dAram
179220,179220,بُن همیشه در داستان‌های قدیمی ذکر شده‌است.,بن همیشه در داستان‌های قدیمی ذکر شده‌است.,ben hamiSe dar dAstAnhAye qadimi zekr Sodeast,ben hamiSe dar dAstAnhAye qadimi zekr Sodeast
164369,164369,در این برنامه اَشکال زیادی وجود دارد.,در این برنامه اشکال زیادی وجود دارد.,dar ?in barnAme ?eSkAle ziyAdi vojud dArad,dar ?in barnAme ?eSkAle ziyAdi vojud dArad
130800,130800,کَفَن سفید آماده شد.,کفن سفید آماده شد.,kafane sefid ?AmAde Sod,kafane sefid ?AmAde Sod
103877,103877,جلسه ساعت نُه برگزار می‌شود.,جلسه ساعت نه برگزار می‌شود.,jalaseye sA?ate noh bargozAr miSavad,jalaseye sA?ate noh bargozAr miSavad
175813,175813,کتابی درباره‌ی غَنا خوانده‌ام که خیلی جالب بود.,کتابی درباره‌ی غنا خوانده‌ام که خیلی جالب بود.,ketAbi darbAreye qanA xAnde ?am ke xeili jAleb bud,ketAbi darbAreye qanA xAnde ?am ke xeili jAleb bud
180407,180407,کتابی درباره‌ی هُل خوانده‌ام که خیلی جالب بود.,کتابی درباره‌ی هل خوانده‌ام که خیلی جالب بود.,ketAbi darbAreye hel xAnde ?am ke xeili jAleb bud,ketAbi darbAreye hel xAnde ?am ke xeili jAleb bud
70807,70807,در ضِمْن سخنرانی خندید.,در ضمن سخنرانی خندید.,dar zemneye soxanrAni xandid,dar zemneye soxanrAni xandid
37832,37832,خانه‌شان خیلی دور است.,خانه‌شان خیلی دور است.,xAneSAn xeyli dur ?ast,xAneSAn xeyli dur ?ast
174983,174983,شُل در فرهنگ ما جایگاه ویژه‌ای دارد.,شل در فرهنگ ما جایگاه ویژه‌ای دارد.,Sol dar farhange mA jAygAhe vizhei dArad,Sol dar farhange mA jAygAhe vizhei dArad
79913,79913,او قَسَم یاد کرد که راست بگوید.,او قسم یاد کرد که راست بگوید.,?u qasam yAd kard ke rAst beguyad,?u qasam yAd kard ke rAst beguyad
85988,85988,لِنگ چپش را گم کرده بود.,لنگ چپش را گم کرده بود.,long CapaS rA gom karde bud,long CapaS rA gom karde bud
106759,106759,لباسش پَر داشت.,لباسش پر داشت.,lebAsaS par dASt,lebAsaS par dASt
12408,12408,در بُهْت کامل به او خیره شد.,در بهت کامل به او خیره شد.,dar behet kAmel be ?u xire Sod,dar boht kAmel be ?u xire Sod
143332,143332,او فرمانده یک گُردان بود.,او فرمانده یک گردان بود.,?u farmAndehye yek gordAn bud,?u farmAndehye yek gordAn bud
40318,40318,دین نقش مهمی در فرهنگ دارد.,دین نقش مهمی در فرهنگ دارد.,din naqSe mohemmi dar farhang dArad,din naqSe mohemmi dar farhang dArad
162067,162067,در شهر قدیمی، اَرگ بلندی وجود دارد.,در شهر قدیمی، ارگ بلندی وجود دارد.,dar Sahre qadimi ?arge bolandi vojud dArad,dar Sahre qadimi ?arge bolandi vojud dArad
148934,148934,گُل زیبا در باغ شکفت.,گل زیبا در باغ شکفت.,ole zibA dar bAq Sekoft,ole zibA dar bAq Sekoft
89646,89646,بر اثر تصادف مُرد.,بر اثر تصادف مرد.,bar ?asare tasAdof mard,bar ?asare tasAdof mard
110612,110612,خوراک با پَز مناسب پخته شد.,خوراک با پز مناسب پخته شد.,xorAk bA paze monAsebe poxte Sod,xorAk bA paze monAsebe poxte Sod
12513,12513,بُهْت چهره‌اش را فرا گرفت.,بهت چهره‌اش را فرا گرفت.,boht CehreaS rA farA gereft,boht CehreaS rA farA gereft
